"","sim.num","sample.num","tru.rba","tru.ivb","meas.ivb"
"4619",1155,3,42.9202088357015,52.0845203140108,54.6073636763452
"4620",1155,4,17.0940988941176,22.6698165081066,18.686851352464
"4621",1156,1,33.7275115532906,41.6144778511282,44.6839210108325
"4622",1156,2,40.9604381891949,49.8524352952106,50.838095775155
"4623",1156,3,6.60249496628263,10.7203815105725,9.49107518730426
"4624",1156,4,25.3411681638482,32.0628338995993,32.5339751043136
"4625",1157,1,14.0132762466752,19.1609068868738,19.5170426928956
"4626",1157,2,31.6822715855507,39.2850473639529,42.6228784753002
"4627",1157,3,25.6999955151936,32.4715210879199,35.226171674116
"4628",1157,4,25.0993918822565,31.7874622804743,29.980002183189
"4629",1158,1,20.2454462648278,26.2590504155214,27.7461643273319
"4630",1158,2,30.9049729556305,38.3997414073241,37.7199912878551
"4631",1158,3,36.2169024739103,44.4497750272327,41.4010899363426
"4632",1158,4,20.4539314086725,26.4965050212671,25.5921136948476
"4633",1159,1,10.1582752645414,14.7702451760153,17.6855576150885
"4634",1159,2,40.5078056962041,49.3369085378179,47.8745558704312
"4635",1159,3,56.7585452982959,67.8457235743689,65.2098565788562
"4636",1159,4,40.8643691025671,49.7430172011015,51.9314668801239
"4637",1160,1,45.3534708806494,54.8558893857055,55.2491651465031
"4638",1160,2,29.9101469673563,37.2666821951666,39.1379187488617
"4639",1160,3,39.597499804937,48.3001136730489,49.4183264078882
"4640",1160,4,28.2009484886967,35.3199868891762,33.4389306805744
"4641",1161,1,30.7562802071153,38.2303874796302,38.4739773263263
"4642",1161,2,30.1074905642971,37.4914471119557,36.5466396105523
"4643",1161,3,2.2279646772971,5.738000771409,4.83323639212989
"4644",1161,4,32.9808416013016,40.7640564935098,38.794407922438
"4645",1162,1,17.7376840965615,23.4028292671543,25.3628153296003
"4646",1162,2,28.3588270163197,35.499802979863,35.8681931234249
"4647",1162,3,57.8569535358806,69.0967580135315,70.3684290140758
"4648",1162,4,18.0652754707808,23.7759401717321,24.1959344187592
"4649",1163,1,39.2053544248768,47.8534788438233,43.7754699315801
"4650",1163,2,25.9547452358734,32.7616688335688,31.8958764956962
"4651",1163,3,23.2369363311676,29.6662145001909,29.2604283592858
"4652",1163,4,41.7760731222897,50.7814044673003,49.8144060008474
"4653",1164,1,17.4267396099997,23.048678371298,21.3894560507921
"4654",1164,2,39.8820120507223,48.6241595110732,50.6086930913752
"4655",1164,3,19.6903234490982,25.6267920832554,24.1420009881431
"4656",1164,4,3.9727920716434,7.72527570802209,8.97393985815229
"4657",1165,1,42.4710323235481,51.5729297534717,51.2844353823248
"4658",1165,2,7.36930211621011,11.59373817336,9.98602476868084
"4659",1165,3,32.7074342227712,40.4526585680766,40.7158534974707
