"","sim.num","sample.num","incr.num","sim.value"
"278",70,2,1,1004.78637373992
"279",70,3,1,611.367268967503
"280",70,4,1,1423.03454690144
"281",71,1,1,960.773289738878
"282",71,2,1,1003.28001125348
"283",71,3,1,459.069573879952
"284",71,4,1,726.720729611802
"285",72,1,1,781.970667729204
"286",72,2,1,1877.84752050499
"287",72,3,1,480.006616519226
"288",72,4,1,654.608290146829
"289",73,1,1,494.450158014075
"290",73,2,1,601.642352983317
"291",73,3,1,587.023570296568
"292",73,4,1,1104.75248831048
"293",74,1,1,845.446505030938
"294",74,2,1,1005.2441904814
"295",74,3,1,840.128850746346
"296",74,4,1,1672.21055628872
"297",75,1,1,764.218379144654
"298",75,2,1,1051.94032624656
"299",75,3,1,565.468477730388
"300",75,4,1,700.281972894798
"301",76,1,1,472.390568993502
"302",76,2,1,529.3484327793
"303",76,3,1,492.470321886751
"304",76,4,1,1108.68927897861
"305",77,1,1,1044.45972356587
"306",77,2,1,1183.88098774156
"307",77,3,1,1175.22690250856
"308",77,4,1,610.986159266656
"309",78,1,1,466.080941596331
"310",78,2,1,580.758523007536
"311",78,3,1,979.888214509537
"312",78,4,1,618.924046283376
"313",79,1,1,767.792112032009
"314",79,2,1,658.577150508731
"315",79,3,1,1188.39404510999
"316",79,4,1,1324.02439331697
"317",80,1,1,672.931014092929
"318",80,2,1,783.472104681602
"319",80,3,1,766.470152198066
"320",80,4,1,578.361625696913
"321",81,1,1,532.37949089677
"322",81,2,1,459.762292274591
"323",81,3,1,1441.9510213045
"324",81,4,1,1213.99474139152
"325",82,1,1,1011.97379149677
"326",82,2,1,890.912629250367
"327",82,3,1,890.670859243309
"328",82,4,1,1436.458152039
"329",83,1,1,1066.44148676138
"330",83,2,1,750.600114739915
"331",83,3,1,677.600365907553
"332",83,4,1,1700.91564852255
"333",84,1,1,1173.81346389312
"334",84,2,1,1005.0138004934
"335",84,3,1,688.417737263323
"336",84,4,1,764.394911715334
"337",85,1,1,1018.46705835784
"338",85,2,1,959.207501474002
"339",85,3,1,392.530143795664
"340",85,4,1,960.047058277246
"341",86,1,1,1098.65049710823
"342",86,2,1,764.707313645801
"343",86,3,1,1179.96538109724
"344",86,4,1,1198.60799661402
"345",87,1,1,1603.63745864836
"346",87,2,1,954.288961277839
"347",87,3,1,846.838481927088
"348",87,4,1,788.52024680574
"349",88,1,1,754.534183192164
"350",88,2,1,405.837991643614
"351",88,3,1,1105.01119557319
"352",88,4,1,745.870583339439
"353",89,1,1,586.857076168524
"354",89,2,1,509.142783218535
"355",89,3,1,1332.8892359955
"356",89,4,1,628.324974643248
"357",90,1,1,514.819382181225
"358",90,2,1,1084.38066666917
"359",90,3,1,484.00994885258
"360",90,4,1,685.683578951904
"361",91,1,1,603.791779758702
"362",91,2,1,896.767246398979
"363",91,3,1,767.950908351576
"364",91,4,1,1143.33527019326
"365",92,1,1,1435.51923140359
"366",92,2,1,557.133688779253
"367",92,3,1,1861.37568759454
"368",92,4,1,959.740368923505
"369",93,1,1,522.569325871714
"370",93,2,1,995.457633177172
"371",93,3,1,758.045541004971
"372",93,4,1,527.172334356488
"373",94,1,1,1426.53211970015
"374",94,2,1,858.174294900437
"375",94,3,1,979.091332327752
"376",94,4,1,1376.36440555572
"377",95,1,1,900.729199373929
"378",95,2,1,737.399851108963
"379",95,3,1,899.658050025844
"380",95,4,1,792.945918155608
"381",96,1,1,1008.66682379096
"382",96,2,1,964.001576286536
"383",96,3,1,427.815534007803
"384",96,4,1,588.880288389864
"385",97,1,1,686.814551422101
"386",97,2,1,1266.07839313733
"387",97,3,1,1142.38126148585
"388",97,4,1,626.359530120889
"389",98,1,1,801.31187181642
"390",98,2,1,837.216036562459
"391",98,3,1,269.552361713769
"392",98,4,1,595.526786007106
"393",99,1,1,1251.055519169
"394",99,2,1,802.96792993596
"395",99,3,1,1014.02384183381
"396",99,4,1,1066.56803666717
"397",100,1,1,589.808953102922
"398",100,2,1,1075.86592187193
"399",100,3,1,1519.74992272144
"400",100,4,1,429.969164910951
"401",101,1,1,1644.07940811255
"402",101,2,1,1333.0885192889
"403",101,3,1,468.011807715982
"404",101,4,1,760.73303866083
"405",102,1,1,527.676203794305
"406",102,2,1,490.101861821373
"407",102,3,1,844.469148709985
"408",102,4,1,752.292528620039
"409",103,1,1,764.711920038995
"410",103,2,1,806.405314238757
"411",103,3,1,1428.06803167342
"412",103,4,1,590.067399648977
"413",104,1,1,963.166873542768
"414",104,2,1,890.721352668112
"415",104,3,1,345.134892922707
"416",104,4,1,1580.12045896053
"417",105,1,1,875.151361258633
"418",105,2,1,484.998993287706
"419",105,3,1,968.028952696611
"420",105,4,1,1332.72448389205
"421",106,1,1,667.5470166222
"422",106,2,1,634.236304467708
"423",106,3,1,360.933446750412
"424",106,4,1,695.603242669551
"425",107,1,1,1027.65170219077
"426",107,2,1,769.096940213598
"427",107,3,1,766.239495718455
"428",107,4,1,862.885663893162
